name,id,description,img
Bitmark,bitmark,,https://dkyfoqsw29om1.cloudfront.net/2019/01/18-bitmark.png
DTCO,dtco,區塊鏈應用技術開發公司,https://dkyfoqsw29om1.cloudfront.net/2019/01/19-dtco.png
Cobinhood,cobinhood,零交易手續費數位貨幣交易所,https://dkyfoqsw29om1.cloudfront.net/2019/01/20-cobinhood.png
ACE,ace,首間接受KPMG輔導及Uplive支持的數位貨幣交易所,https://dkyfoqsw29om1.cloudfront.net/2019/01/21-ace.jpg
Starbit,starbit,去中心化數位貨幣交易所,https://dkyfoqsw29om1.cloudfront.net/2019/01/22-startbit.png
KTrade,ktrade,數位貨幣交易所，提供交易費用回饋機制,https://dkyfoqsw29om1.cloudfront.net/2019/01/23-ktrade.png
幣必多,bibitduo,數位貨幣交易所，採交易即挖礦模式,https://dkyfoqsw29om1.cloudfront.net/2019/01/24-bitbitduo.png
Max,max,數位貨幣交易所，提供新台幣出入金服務,https://dkyfoqsw29om1.cloudfront.net/2019/01/41-max.jpg
BitoEx,bitoex,,https://dkyfoqsw29om1.cloudfront.net/2019/01/42-bitoex.pn
Joyso,joyso,混合式去中心化數位貨幣交易所,https://dkyfoqsw29om1.cloudfront.net/2019/01/43-joyso.png
比特之星,bitstarex,資訊未提供,https://dkyfoqsw29om1.cloudfront.net/2019/01/25-bitstarex.png
數寶,bow,資訊未提供,https://dkyfoqsw29om1.cloudfront.net/2019/01/26-bow.png
Bitpoint,bitpoint,資訊未提供,https://dkyfoqsw29om1.cloudfront.net/2019/01/27-bitpoint.png
OTCBTC,otcbtc,資訊未提供,https://dkyfoqsw29om1.cloudfront.net/2019/01/28-otcbtc.jpg
Kronos,kronos,專注於數字資產的對沖基金、量化交易、做市商機構,https://dkyfoqsw29om1.cloudfront.net/2019/01/29-kronos.png
Bicentive,bicentivre,鏈上智能跟投平台,https://dkyfoqsw29om1.cloudfront.net/2019/01/30-bicentive.png
Coinful Capital,coinful,量化基金,https://dkyfoqsw29om1.cloudfront.net/2019/01/31-coinful-capital.png
恆新資本,henshin,加密貨幣基金,
Kyber Capital,kyber,專注於區塊鏈產業的創新金融服務、建構產業生態系風投機構,https://dkyfoqsw29om1.cloudfront.net/2019/01/33-kyber.png
台大區塊鏈研究社,ntu,大學區塊鏈知識/資訊傳遞社群,https://dkyfoqsw29om1.cloudfront.net/2019/01/35-台大區研.png
政大區塊鏈研究社,nccu,大學區塊鏈知識/資訊傳遞社群,https://dkyfoqsw29om1.cloudfront.net/2019/01/34-政大區研.jpg
Bithub,bithub,實體社群經營空間、加密貨幣主題餐酒館,https://dkyfoqsw29om1.cloudfront.net/2019/01/36-bithub.jpg
IOTA 愛好者中文社群,iota,IOTA技術討論社群,https://dkyfoqsw29om1.cloudfront.net/2019/01/37-iota.png
EOS Taiwan,eos,The HUB for EOS Ecosystem Based in TW,https://dkyfoqsw29om1.cloudfront.net/2019/01/38-eos.tw_.jpg
NEM Taiwan,nem,全球首創智慧資產區塊鏈NEM官方中文社群,https://dkyfoqsw29om1.cloudfront.net/2019/01/39-nem.tw_.jpg
Taipei Ethereum Meetup,ethereum,專注以太坊相關技術的討論區,https://dkyfoqsw29om1.cloudfront.net/2019/01/40-taipei-ethereum.png
Bitzantin,bizantin,,https://dkyfoqsw29om1.cloudfront.net/2019/01/48-bitzantin.jpg
Appworks,appworks,大東南亞 (東協+台灣)」最大創業加速器之一,https://dkyfoqsw29om1.cloudfront.net/2019/01/44-appworks.jpg
ABA,aba,「企業上鏈」服務一條龍！,https://dkyfoqsw29om1.cloudfront.net/2019/01/45-aba.jpg
余宛如,yu,立法委員,https://dkyfoqsw29om1.cloudfront.net/2019/01/47-yu.jpg
許毓仁,hsu,立法委員,https://dkyfoqsw29om1.cloudfront.net/2019/01/46-hsu.jpg
KKFarm,kkfarm,,https://dkyfoqsw29om1.cloudfront.net/2019/01/49-kkfarm.png
HTC Exodus,htc,,
Crypto DT,cryptodt,,
遊戲橘子,gash,區塊鏈虛寶交易所,
財金公司,fisc,金融區塊鏈函證服務,
北醫附醫,tmuh,智鏈護照,
中國信託,voltron,Voltron平台,
富邦金控,fubon1,區塊鏈支付Lucky Pay、企業員工叫車進階模式,
富邦產險,fubon2, 區塊鏈專利「分散式保險回饋系統」,
台灣產物、明台、兆豐...,,班機延誤快速理賠,
第一銀行,first_bank,外勞匯款,
華碩,asus,挖礦主機板、閒置顯卡挖礦服務,
MSI,msi,挖礦主機板,
